kyBP,Prec_5KYR_AVG_DIFF,Humidity_5kyr_AVG_DIFF,Humidity_5kyr_AVG_DIFF_1,Humidity_3kyr_AVG_DIFF,Prec_3KYR_AVG_DIFF
160,-0.000454545,0.153,1.153,0.125529136,-0.001285714
160.5,-4.55E-05,0.143,1.143,0.136188087,-0.000928571
161,0.000409091,0.156,1.156,0.191327254,-0.000428571
161.5,0.000772727,0.111,1.111,0.157978153,-7.14286E-05
162,0.001227273,0.028,1.028,0.09007672,0.000428571
162.5,0.001590909,-0.086,0.914,0.045492539,0.000785714
163,0.002,-0.062,0.938,0.144560731,0.001214286
163.5,0.002363636,-0.097,0.903,0.0871316,0.001571429
164,0.002727273,-0.158,0.842,0.051874821,0.002071429
164.5,0.003,-0.201,0.799,-0.154543636,0.002428571
165,0.003318182,-0.177,0.823,-0.18006224,0.002857143
165.5,0.003545455,-0.215,0.785,-0.267015035,0.003142857
166,0.003727273,-0.208,0.792,-0.336821268,0.003428571
166.5,0.003863636,-0.246,0.754,-0.36961316,0.003642857
167,0.003909091,-0.234,0.766,-0.295434111,0.003928571
167.5,0.003863636,-0.219,0.781,-0.291500525,0.004071429
168,0.003772727,-0.087,0.913,-0.146227668,0.004142857
168.5,0.003636364,-0.053,0.947,-0.143848199,0.004142857
169,0.003409091,-0.083,0.917,-0.128383924,0.004
169.5,0.003181818,-0.037,0.963,-0.044154851,0.003857143
170,0.002818182,-0.017,0.983,0.024096815,0.003642857
170.5,0.002409091,-0.059,0.941,0.014872133,0.003357143
171,0.001909091,-0.039,0.961,-0.059072934,0.002928571
171.5,0.001454545,-0.043,0.957,-0.068879999,0.002571429
172,0.000863636,0.023,1.023,-0.009228521,0.002
172.5,0.000363636,0.156,1.156,-0.020437912,0.001571429
173,-0.000272727,0.126,1.126,-0.009957885,0.001
173.5,-0.000863636,0.042,1.042,-0.07608264,0.0005
174,-0.0015,-0.015,0.985,-0.024683767,-0.000214286
174.5,-0.002045455,0.021,1.021,0.246379616,-0.000785714
175,-0.002636364,0.069,1.069,0.212210983,-0.001571429
175.5,-0.003090909,0.058,1.058,0.115977968,-0.002142857
176,-0.003590909,0.074,1.074,0.085446474,-0.002785714
176.5,-0.004,0.068,1.068,0.03639833,-0.003285714
177,-0.004409091,0.085,1.085,0.106670808,-0.003857143
177.5,-0.004681818,0.054,1.054,0.045459985,-0.004214286
178,-0.004863636,-0.077,0.923,-0.149245936,-0.004642857
178.5,-0.004909091,-0.027,0.973,-0.101250996,-0.004857143
179,-0.004863636,0.058,1.058,-0.008585281,-0.005071429
179.5,-0.004772727,0.156,1.156,0.082927337,-0.005214286
180,-0.004590909,0.257,1.257,0.091492524,-0.005214286
180.5,-0.004363636,0.234,1.234,0.061123819,-0.005142857
181,-0.003954545,0.203,1.203,0.116578327,-0.004928571
181.5,-0.0035,0.196,1.196,0.214492816,-0.004642857
182,-0.002909091,0.228,1.228,0.334135992,-0.004214286
182.5,-0.002318182,0.337,1.337,0.340324695,-0.003785714
183,-0.001590909,0.368,1.368,0.279204046,-0.003071429
183.5,-0.000954545,0.459,1.459,0.280978474,-0.0025
184,-0.000181818,0.414,1.414,0.299463492,-0.001714286
184.5,0.0005,0.413,1.413,0.429273761,-0.001071429
185,0.001318182,0.418,1.418,0.416961598,-0.000214286
185.5,0.002045455,0.294,1.294,0.408886502,0.0005
186,0.002818182,0.327,1.327,0.34416212,0.001428571
186.5,0.003409091,0.403,1.403,0.446886141,0.002071429
187,0.004045455,0.471,1.471,0.562299006,0.002928571
187.5,0.004545455,0.427,1.427,0.437941498,0.003571429
188,0.005,0.261,1.261,0.324505596,0.004285714
